iyear,imonth,iday,gname,nkill,nwound,longitude,latitude,country_txt,city,casualty
2011,8,13,Al-Qa`ida,1,0,74.357158,31.554606,Pakistan,Lahore,1
1992,12,29,Al-Qa`ida,2,5,44.894836,12.852692999999999,Yemen,Aden,7
1992,12,29,Al-Qa`ida,1,1,44.894836,12.852692999999999,Yemen,Aden,2
1998,8,7,Al-Qa`ida,224,4000,36.823491,-1.283279,Kenya,Nairobi,4224
1998,8,7,Al-Qa`ida,11,85,39.259342,-6.829574000000001,Tanzania,Dar es Salaam,96
2000,1,3,Al-Qa`ida,0,0,44.983199,12.790058,Yemen,Aden,0
2000,10,12,Al-Qa`ida,19,38,44.983199,12.790058,Yemen,Aden,57
2001,9,11,Al-Qa`ida,1381,0,-74.007124,40.71455,United States,New York City,1381
2001,9,11,Al-Qa`ida,1381,0,-74.007124,40.71455,United States,New York City,1381
2001,9,11,Al-Qa`ida,189,106,-77.086294,38.89051,United States,Arlington,295
2001,9,11,Al-Qa`ida,44,0,-78.902371,40.048868,United States,Shanksville,44
2001,12,22,Al-Qa`ida,0,1,2.3522220000000003,48.856614,France,Paris,1
2002,3,17,Al-Qa`ida,5,46,73.053857,33.708988,Pakistan,Islamabad,51
2002,4,8,Al-Qa`ida,10,80,70.447778,34.434166999999995,Afghanistan,Jalalabad,90
2002,4,11,Al-Qa`ida,21,30,10.855024,33.819136,Tunisia,Er Riadh,51
2002,5,8,Al-Qa`ida,14,20,67.028061,24.893379,Pakistan,Karachi,34
2002,6,27,Al-Qa`ida,19,24,66.39805600000001,31.008056,Afghanistan,Spin Boldak,43
2002,9,5,Al-Qa`ida,3,1,65.675942,31.617666999999997,Afghanistan,Kandahar,4
2002,9,5,Al-Qa`ida,10,65,69.166111,34.533056,Afghanistan,Kabul,75
2002,9,15,Al-Qa`ida,1,5,68.346304,25.377845999999998,Pakistan,Hyderabad,6
2002,10,6,Al-Qa`ida,1,12,47.922339,12.533136,International,Gulf of Aden,13
2002,11,14,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2002,11,21,Al-Qa`ida,0,8,65.675942,31.617666999999997,Afghanistan,Kandahar,8
2002,11,28,Al-Qa`ida,16,0,39.661445,-4.092902,Kenya,Mombasa,16
2002,11,28,Al-Qa`ida,0,0,39.705227,-4.024563,Kenya,Mombasa,0
2002,12,17,Al-Qa`ida,0,3,69.166111,34.533056,Afghanistan,Kabul,3
2003,3,4,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,5,Al-Qa`ida,0,1,70.447778,34.434166999999995,Afghanistan,Jalalabad,1
2003,3,7,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,10,Al-Qa`ida,3,5,65.675942,31.617666999999997,Afghanistan,Kandahar,8
2003,3,13,Al-Qa`ida,0,0,65.675942,31.617666999999997,Afghanistan,Kandahar,0
2003,3,15,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,18,Al-Qa`ida,0,0,70.447778,34.434166999999995,Afghanistan,Jalalabad,0
2003,3,20,Al-Qa`ida,0,0,65.675942,31.617666999999997,Afghanistan,Kandahar,0
2003,6,7,Al-Qa`ida,6,29,69.166111,34.533056,Afghanistan,Kabul,35
2003,8,13,Al-Qa`ida,17,3,64.369167,31.583056,Afghanistan,Lashkar Gah,20
2003,11,1,Al-Qa`ida,0,0,,,Afghanistan,Unknown,0
2003,11,20,Al-Qa`ida,16,224,,,Turkey,Istanbul,240
2003,11,20,Al-Qa`ida,16,224,,,Turkey,Istanbul,240
2003,12,25,Al-Qa`ida,15,46,73.043426,33.600398999999996,Pakistan,Rawalpindi,61
2004,3,24,Al-Qa`ida,0,2,71.579994,34.009667,Pakistan,Peshawar,2
2004,6,4,Al-Qa`ida,0,3,69.832993,32.687926000000004,Pakistan,Razmak,3
2004,6,10,Al-Qa`ida,24,0,69.590665,32.301964,Pakistan,Wana,24
2004,8,26,Al-Qa`ida,1,6,69.689823,32.386811,Pakistan,Tiarza,7
2004,8,28,Al-Qa`ida,2,5,69.590665,32.301964,Pakistan,Wana,7
2004,12,23,Al-Qa`ida,1,1,69.839388,32.620653000000004,Pakistan,Makin,2
2005,6,1,Al-Qa`ida,21,52,65.675942,31.617666999999997,Afghanistan,Kandahar,73
2005,11,5,Al-Qa`ida,8,0,70.067644,32.824731,Pakistan,Musaki,8
2006,2,6,Al-Qa`ida,0,0,67.116667,36.7,Afghanistan,Mazari Sharif,0
2006,9,18,Al-Qa`ida,11,18,43.650184,3.1200330000000003,Somalia,Baidoa,29
2006,11,10,Al-Qa`ida,9,4,70.009858,32.684554,Pakistan,Malik Shahi,13
2007,1,23,Al-Qa`ida,0,0,,,West Bank and Gaza Strip,Gaza City,0
2007,7,14,Al-Qa`ida,25,26,70.067081,32.998616999999996,Pakistan,Miran Shah,51
2007,9,4,Al-Qa`ida,18,35,73.043426,33.600398999999996,Pakistan,Rawalpindi,53
2007,12,27,Al-Qa`ida,20,100,73.043426,33.600398999999996,Pakistan,Rawalpindi,120
2008,2,1,Al-Qa`ida,7,15,69.920086,32.926684,Pakistan,North Waziristan District,22
2008,3,11,Al-Qa`ida,27,200,74.357158,31.554606,Pakistan,Lahore,227
2008,3,15,Al-Qa`ida,1,10,73.053857,33.708988,Pakistan,Islamabad,11
2008,7,9,Al-Qa`ida,6,2,,,Turkey,Istanbul,8
2011,1,18,Al-Qa`ida in Iraq,61,150,43.685789,34.604447,Iraq,Tikrit,211
2011,3,29,Al-Qa`ida in Iraq,68,95,43.685789,34.604447,Iraq,Tikrit,163
2011,4,8,Al-Qa`ida in Iraq,2,0,44.4,33.3,Iraq,Baghdad,2
2011,8,16,Al-Qa`ida in Iraq,1,0,45.165803000000004,34.273724,Iraq,Jalawlah,1
2011,8,27,Al-Qa`ida in Iraq,1,0,45.126056,34.186336,Iraq,Sadiyah,1
2011,9,14,Al-Qa`ida in Iraq,5,41,44.550194,32.468191,Iraq,,46
2011,9,25,Al-Qa`ida in Iraq,3,29,44.024968,32.614481,Iraq,Karbala,32
2011,9,25,Al-Qa`ida in Iraq,3,28,44.024968,32.614481,Iraq,Karbala,31
2011,9,25,Al-Qa`ida in Iraq,3,28,44.024968,32.614481,Iraq,Karbala,31
2011,10,1,Al-Qa`ida in Iraq,1,0,44.666667,33.7,Iraq,Buhriz,1
2011,10,3,Al-Qa`ida in Iraq,0,0,42.55,33.85,Iraq,Al-Baghdadi,0
2011,11,11,Al-Qa`ida in Iraq,1,0,44.92668,33.971348,Iraq,Muqdadiyah,1
2011,11,20,Al-Qa`ida in Iraq,0,3,44.657695000000004,33.814152,Iraq,Abbarah,3
2011,11,29,Al-Qa`ida in Iraq,5,0,43.886423,34.192537,Iraq,Samarra,5
2011,12,22,Al-Qa`ida in Iraq,2,10,44.4,33.3,Iraq,Baghdad,12
2011,12,22,Al-Qa`ida in Iraq,3,9,44.334992,33.36213,Iraq,Baghdad,12
2011,12,22,Al-Qa`ida in Iraq,5,14,44.4,33.3,Iraq,Baghdad,19
2011,12,22,Al-Qa`ida in Iraq,7,21,44.326021000000004,33.28131,Iraq,Baghdad,28
2011,12,22,Al-Qa`ida in Iraq,18,44,44.423196999999995,33.298668,Iraq,Baghdad,62
2011,12,22,Al-Qa`ida in Iraq,1,5,44.363851000000004,33.368140999999994,Iraq,Baghdad,6
2011,12,22,Al-Qa`ida in Iraq,1,6,44.279324,33.361338,Iraq,Baghdad,7
2011,12,22,Al-Qa`ida in Iraq,0,8,44.432341,33.411707,Iraq,Baghdad,8
2011,12,22,Al-Qa`ida in Iraq,3,6,44.4,33.3,Iraq,Baghdad,9
2011,12,22,Al-Qa`ida in Iraq,4,14,44.4,33.3,Iraq,Baghdad,18
2011,12,22,Al-Qa`ida in Iraq,2,6,44.363851000000004,33.368140999999994,Iraq,Baghdad,8
2011,12,22,Al-Qa`ida in Iraq,5,0,44.519490999999995,33.851043,Iraq,Khalis,5
2011,12,22,Al-Qa`ida in Iraq,0,3,44.4,33.3,Iraq,Baghdad,3
2011,12,22,Al-Qa`ida in Iraq,1,1,44.344346,33.376923,Iraq,Baghdad,2
2011,12,23,Al-Qa`ida in Iraq,23,83,36.295873,33.512753000000004,Syria,Damascus,106
2011,12,23,Al-Qa`ida in Iraq,23,83,36.295873,33.512753000000004,Syria,Damascus,106
2011,12,31,Al-Qa`ida in Iraq,5,0,44.536066999999996,33.571807,Iraq,Khan Bani Saad,5
2012,1,24,Al-Qa`ida in Iraq,1,0,44.25529,33.281965,Iraq,Baghdad,1
2012,2,19,Al-Qa`ida in Iraq,16,21,44.422,33.325,Iraq,Baghdad,37
2012,2,19,Al-Qa`ida in Iraq,4,0,44.633333,33.75,Iraq,Baqubah,4
2012,2,23,Al-Qa`ida in Iraq,1,11,44.493660999999996,33.271403,Iraq,Baghdad,12
2012,2,23,Al-Qa`ida in Iraq,6,3,44.380392,33.394528,Iraq,Baghdad,9
2012,2,23,Al-Qa`ida in Iraq,2,9,44.493660999999996,33.271403,Iraq,Baghdad,11
2012,2,23,Al-Qa`ida in Iraq,6,15,44.314192999999996,33.361103,Iraq,Baghdad,21
2012,2,23,Al-Qa`ida in Iraq,7,32,44.145278000000005,34.016389000000004,Iraq,Balad,39
2012,2,23,Al-Qa`ida in Iraq,3,5,43.493056,34.929167,Iraq,Baiji,8
2012,2,23,Al-Qa`ida in Iraq,1,3,44.233333,33.85,Iraq,Dujail,4
2012,2,23,Al-Qa`ida in Iraq,0,5,44.639339,34.88562,Iraq,Tuz Khormato,5
2012,2,23,Al-Qa`ida in Iraq,2,3,43.483738,34.533753000000004,Iraq,Sulayman Beg,5
2012,2,23,Al-Qa`ida in Iraq,3,8,44.633333,33.75,Iraq,Baqubah,11
2012,2,23,Al-Qa`ida in Iraq,3,8,45.165826,34.273703999999995,Iraq,Jalawla,11
2012,2,23,Al-Qa`ida in Iraq,1,60,44.29,32.778611,Iraq,Musayyib,61
2012,2,23,Al-Qa`ida in Iraq,0,10,44.39098,35.46883,Iraq,Kirkuk,10
2012,2,23,Al-Qa`ida in Iraq,0,8,44.39098,35.46883,Iraq,Kirkuk,8
2012,2,23,Al-Qa`ida in Iraq,1,0,43.13,36.34,Iraq,Mosul,1
2012,2,23,Al-Qa`ida in Iraq,1,0,43.13,36.34,Iraq,Mosul,1
2012,2,23,Al-Qa`ida in Iraq,1,6,44.493660999999996,33.271403,Iraq,Baghdad,7
2012,2,23,Al-Qa`ida in Iraq,2,10,44.342575,33.230985,Iraq,Baghdad,12
2012,2,23,Al-Qa`ida in Iraq,0,5,44.234167,33.509167,Iraq,Taji,5
2012,2,23,Al-Qa`ida in Iraq,2,5,44.347304,33.314657000000004,Iraq,Baghdad,7
2012,2,23,Al-Qa`ida in Iraq,1,5,44.433333000000005,32.483333,Iraq,Hillah,6
2012,2,23,Al-Qa`ida in Iraq,1,2,44.545441,32.54855,Iraq,Al-Nile,3
2012,2,23,Al-Qa`ida in Iraq,2,5,44.347304,33.314657000000004,Iraq,Baghdad,7
2012,2,23,Al-Qa`ida in Iraq,0,8,44.583333,33.1,Iraq,Madain,8
2012,2,23,Al-Qa`ida in Iraq,0,0,43.13,36.34,Iraq,Mosul,0
2012,2,23,Al-Qa`ida in Iraq,0,0,43.13,36.34,Iraq,Mosul,0
2012,2,23,Al-Qa`ida in Iraq,0,7,45.083333,33.7,Iraq,Balad Ruz,7
2012,2,23,Al-Qa`ida in Iraq,0,1,43.893056,35.244444,Iraq,Riyadh district,1
2012,2,23,Al-Qa`ida in Iraq,0,1,43.893056,35.244444,Iraq,Riyadh district,1
2012,2,23,Al-Qa`ida in Iraq,1,0,44.633333,33.75,Iraq,Baqubah,1
2012,2,23,Al-Qa`ida in Iraq,2,3,44.633333,33.75,Iraq,Baqubah,5
2012,2,23,Al-Qa`ida in Iraq,2,9,44.342575,33.230985,Iraq,Baghdad,11
2012,3,5,Al-Qa`ida in Iraq,1,0,42.383333,34.133333,Iraq,Hadithah,1
2012,3,5,Al-Qa`ida in Iraq,14,0,42.383333,34.133333,Iraq,Hadithah,14
2012,3,5,Al-Qa`ida in Iraq,1,0,42.383333,34.133333,Iraq,Hadithah,1
2012,3,5,Al-Qa`ida in Iraq,14,0,42.383333,34.133333,Iraq,Hadithah,14
2012,3,7,Al-Qa`ida in Iraq,7,7,42.451778000000004,36.373718,Iraq,Kifah,14
2012,3,7,Al-Qa`ida in Iraq,8,7,42.451778000000004,36.373718,Iraq,Kifah,15
2012,3,19,Al-Qa`ida in Iraq,1,4,44.653244,33.735333000000004,Iraq,Baqubah,5
2012,3,20,Al-Qa`ida in Iraq,3,8,44.422,33.325,Iraq,Baghdad,11
2012,3,20,Al-Qa`ida in Iraq,6,24,44.02483,32.6143,Iraq,Karbala,30
2012,3,20,Al-Qa`ida in Iraq,6,21,44.39098,35.46883,Iraq,Kirkuk,27
2012,3,20,Al-Qa`ida in Iraq,6,21,44.39098,35.46883,Iraq,Kirkuk,27
2012,3,20,Al-Qa`ida in Iraq,3,31,44.433333000000005,32.483333,Iraq,Hillah,34
2012,3,20,Al-Qa`ida in Iraq,3,0,44.373304,33.305245,Iraq,Baghdad,3
2012,3,20,Al-Qa`ida in Iraq,2,27,43.311501,33.431831,Iraq,Ramadi,29
2012,3,20,Al-Qa`ida in Iraq,0,8,43.874931,34.19421,Iraq,Samarra,8
2012,3,20,Al-Qa`ida in Iraq,0,3,43.493056,34.929167,Iraq,Baiji,3
2012,3,20,Al-Qa`ida in Iraq,6,10,44.448611,35.138333,Iraq,Daquq,16
2012,3,20,Al-Qa`ida in Iraq,0,10,44.217524,34.058828000000005,Iraq,Dhuluiyah,10
2012,3,20,Al-Qa`ida in Iraq,6,28,44.4,33.316666999999995,Iraq,Baghdad,34
2012,3,20,Al-Qa`ida in Iraq,1,1,43.783333,33.35,Iraq,Fallujah,2
2012,3,20,Al-Qa`ida in Iraq,0,4,43.68557,34.604328,Iraq,Tikrit,4
2012,3,20,Al-Qa`ida in Iraq,1,0,44.433333000000005,32.483333,Iraq,Hillah,1
2012,3,20,Al-Qa`ida in Iraq,6,24,44.02483,32.6143,Iraq,Karbala,30
2012,3,20,Al-Qa`ida in Iraq,3,12,44.37141,33.055191,Iraq,Mahmudiyah,15
2012,4,19,Al-Qa`ida in Iraq,2,4,44.422289,33.324758,Iraq,Baghdad,6
2012,4,19,Al-Qa`ida in Iraq,2,1,43.874931,34.19421,Iraq,Samarra,3
2012,4,19,Al-Qa`ida in Iraq,2,5,43.874931,34.19421,Iraq,Samarra,7
2012,4,19,Al-Qa`ida in Iraq,2,5,44.373779,33.664353999999996,Iraq,Tarmiyah,7
2012,4,19,Al-Qa`ida in Iraq,2,11,44.633333,33.75,Iraq,Baqubah,13
2012,4,19,Al-Qa`ida in Iraq,4,23,44.391234999999995,35.469596,Iraq,Kirkuk,27
2012,4,19,Al-Qa`ida in Iraq,5,6,44.070597,35.674949,Iraq,Dibis,11
2012,4,19,Al-Qa`ida in Iraq,2,6,44.391234999999995,35.469596,Iraq,Kirkuk,8
2012,4,19,Al-Qa`ida in Iraq,1,3,44.555,33.780556,Iraq,Al-Hadid,4
2012,4,19,Al-Qa`ida in Iraq,1,0,44.958889,34.080556,Iraq,Mansuriyat al Jabal,1
2012,4,19,Al-Qa`ida in Iraq,3,11,44.314192999999996,33.361103,Iraq,Baghdad,14
2012,4,19,Al-Qa`ida in Iraq,2,8,44.339690999999995,33.238757,Iraq,Baghdad,10
2012,4,19,Al-Qa`ida in Iraq,1,2,44.433333000000005,33.3,Iraq,Baghdad,3
2012,4,19,Al-Qa`ida in Iraq,3,2,44.633333,33.75,Iraq,Baqubah,5
2012,4,19,Al-Qa`ida in Iraq,1,2,44.633333,33.75,Iraq,Baqubah,3
2012,4,19,Al-Qa`ida in Iraq,0,2,44.391234999999995,35.469596,Iraq,Kirkuk,2
2012,4,19,Al-Qa`ida in Iraq,2,3,44.391234999999995,35.469596,Iraq,Kirkuk,5
2012,4,19,Al-Qa`ida in Iraq,6,9,44.234167,33.509167,Iraq,Taji,15
2012,4,19,Al-Qa`ida in Iraq,1,5,44.234167,33.509167,Iraq,Taji,6
2012,4,19,Al-Qa`ida in Iraq,2,4,43.311501,33.431831,Iraq,Ramadi,6
2012,4,19,Al-Qa`ida in Iraq,1,3,43.311501,33.431831,Iraq,Ramadi,4
2012,4,19,Al-Qa`ida in Iraq,3,0,43.874931,34.19421,Iraq,Samarra,3
2012,4,19,Al-Qa`ida in Iraq,1,0,43.766667,34.283333,Iraq,Ishaqi,1
2012,4,19,Al-Qa`ida in Iraq,0,0,44.233333,33.85,Iraq,Dujail,0
2012,4,19,Al-Qa`ida in Iraq,6,4,44.070597,35.674949,Iraq,Dibis,10
2012,4,19,Al-Qa`ida in Iraq,1,1,44.070597,35.674949,Iraq,Dibis,2
2012,4,19,Al-Qa`ida in Iraq,1,1,44.070597,35.674949,Iraq,Dibis,2
2012,4,19,Al-Qa`ida in Iraq,1,1,44.070597,35.674949,Iraq,Dibis,2
2012,4,19,Al-Qa`ida in Iraq,1,1,44.070597,35.674949,Iraq,Dibis,2
2012,4,19,Al-Qa`ida in Iraq,1,1,44.070597,35.674949,Iraq,Dibis,2
2012,4,19,Al-Qa`ida in Iraq,0,3,44.863056,34.068889,Iraq,Al-Mansuriyah,3
2012,4,19,Al-Qa`ida in Iraq,0,3,44.501111,33.593056,Iraq,Ghudayb,3
2012,4,19,Al-Qa`ida in Iraq,0,1,43.493056,34.929167,Iraq,Baiji,1
2012,4,19,Al-Qa`ida in Iraq,0,3,43.13,36.34,Iraq,Mosul,3
2012,4,19,Al-Qa`ida in Iraq,1,2,43.783333,33.35,Iraq,Fallujah,3
2012,4,19,Al-Qa`ida in Iraq,0,2,43.783333,33.35,Iraq,Fallujah,2
2012,4,19,Al-Qa`ida in Iraq,0,0,43.13,36.34,Iraq,Mosul,0
2012,4,19,Al-Qa`ida in Iraq,2,6,44.4,33.316666999999995,Iraq,Baghdad,8
2012,4,19,Al-Qa`ida in Iraq,2,4,44.408735,33.336690000000004,Iraq,Baghdad,6
2012,4,19,Al-Qa`ida in Iraq,2,0,44.25529,33.281965,Iraq,Baghdad,2
2012,4,19,Al-Qa`ida in Iraq,0,5,44.300990999999996,32.77578,Iraq,Musayyib,5
2012,4,19,Al-Qa`ida in Iraq,0,4,45.383465,34.333220000000004,Iraq,Khanaqin,4
2012,4,19,Al-Qa`ida in Iraq,0,6,44.625934,33.75207,Iraq,Baqubah,6
2012,5,2,Al-Qa`ida in Iraq,1,6,42.933336,33.542781,Iraq,Zuwayyah,7
2012,6,4,Al-Qa`ida in Iraq,26,65,44.391023,33.354802,Iraq,Bab Al-Moatham,91
2012,6,13,Al-Qa`ida in Iraq,20,38,44.434507,32.482956,Iraq,Hillah,58
2012,6,13,Al-Qa`ida in Iraq,9,21,44.423113,33.32717,Iraq,Baghdad,30
2012,6,13,Al-Qa`ida in Iraq,7,20,44.314192999999996,33.361103,Iraq,Baghdad,27
2012,6,13,Al-Qa`ida in Iraq,7,11,44.423113,33.32717,Iraq,Baghdad,18
2012,6,13,Al-Qa`ida in Iraq,1,10,44.345039,33.381063,Iraq,Baghdad,11
2012,6,13,Al-Qa`ida in Iraq,3,0,44.356759999999994,33.247211,Iraq,Baghdad,3
2012,6,13,Al-Qa`ida in Iraq,0,14,45.077723,32.901412,Iraq,Aziziyah,14
2012,6,13,Al-Qa`ida in Iraq,1,5,43.783266999999995,33.350128000000005,Iraq,Fallujah,6
2012,6,13,Al-Qa`ida in Iraq,1,5,43.783266999999995,33.350128000000005,Iraq,Fallujah,6
2012,6,13,Al-Qa`ida in Iraq,0,2,44.065556,33.291944,Iraq,Abu Ghraib,3
2012,6,13,Al-Qa`ida in Iraq,0,2,44.065556,33.291944,Iraq,Abu Ghraib,3
2012,6,13,Al-Qa`ida in Iraq,0,2,44.065556,33.291944,Iraq,Abu Ghraib,3
2012,6,13,Al-Qa`ida in Iraq,0,2,44.065556,33.291944,Iraq,Abu Ghraib,3
2012,6,13,Al-Qa`ida in Iraq,3,11,44.583333,33.1,Iraq,Madain,14
2012,6,13,Al-Qa`ida in Iraq,2,7,44.70296,33.376952,Iraq,Nahrawan,9
2012,6,13,Al-Qa`ida in Iraq,2,9,44.145278000000005,34.016389000000004,Iraq,Balad,11
2012,6,13,Al-Qa`ida in Iraq,2,9,44.145278000000005,34.016389000000004,Iraq,Balad,11
2012,6,13,Al-Qa`ida in Iraq,1,12,44.02483,32.6143,Iraq,Karbala,13
2012,6,13,Al-Qa`ida in Iraq,1,12,44.02483,32.6143,Iraq,Karbala,13
2012,6,13,Al-Qa`ida in Iraq,3,7,44.633421000000006,33.749891999999996,Iraq,Baqubah,10
2012,6,13,Al-Qa`ida in Iraq,0,37,44.633421000000006,33.749891999999996,Iraq,Baqubah,37
2012,6,13,Al-Qa`ida in Iraq,0,9,44.391315000000006,35.468739,Iraq,Kirkuk,9
2012,6,13,Al-Qa`ida in Iraq,0,9,44.391315000000006,35.468739,Iraq,Kirkuk,9
2012,6,13,Al-Qa`ida in Iraq,0,9,44.391315000000006,35.468739,Iraq,Kirkuk,9
2012,6,13,Al-Qa`ida in Iraq,5,4,42.236244,36.229574,Iraq,Unknown,9
2012,6,13,Al-Qa`ida in Iraq,0,4,42.236244,36.229574,Iraq,Unknown,4
2012,6,13,Al-Qa`ida in Iraq,0,4,42.236244,36.229574,Iraq,Unknown,4
2012,6,13,Al-Qa`ida in Iraq,0,3,42.838009,33.639469,Iraq,Hit,3
2012,6,16,Al-Qa`ida in Iraq,18,36,44.345039,33.381063,Iraq,Baghdad,54
2012,6,16,Al-Qa`ida in Iraq,14,32,44.423113,33.32717,Iraq,Baghdad,46
2012,6,18,Al-Qa`ida in Iraq,16,40,44.633421000000006,33.749891999999996,Iraq,Baqubah,56
2012,6,28,Al-Qa`ida in Iraq,3,6,43.311501,33.431832,Iraq,Ramadi,9
2012,6,28,Al-Qa`ida in Iraq,6,51,44.633421000000006,33.749891999999996,Iraq,Baqubah,57
2012,6,29,Al-Qa`ida in Iraq,4,4,44.536066999999996,33.571807,Iraq,Khan Bani Saad,8
2012,7,1,Al-Qa`ida in Iraq,1,0,44.633333,33.75,Iraq,Baqubah,1
2012,7,3,Al-Qa`ida in Iraq,25,40,44.924721999999996,31.989167,Iraq,Diwaniyah,65
2012,7,23,Al-Qa`ida in Iraq,15,4,44.362278,34.129853000000004,Iraq,Albu Slaib,19
2012,7,23,Al-Qa`ida in Iraq,10,10,44.234167,33.509167,Iraq,Taji,20
2012,7,23,Al-Qa`ida in Iraq,11,10,44.234167,33.509167,Iraq,Taji,21
2012,7,23,Al-Qa`ida in Iraq,10,10,44.234167,33.509167,Iraq,Taji,20
2012,7,23,Al-Qa`ida in Iraq,10,10,44.234167,33.509167,Iraq,Taji,20
2012,7,23,Al-Qa`ida in Iraq,3,31,44.422,33.325,Iraq,Baghdad,34
2012,7,23,Al-Qa`ida in Iraq,12,22,44.460652,33.389934000000004,Iraq,Baghdad,34
2012,7,23,Al-Qa`ida in Iraq,0,11,44.639339,34.88562,Iraq,Tuz Khormato,12
2012,7,23,Al-Qa`ida in Iraq,0,11,44.639339,34.88562,Iraq,Tuz Khormato,12
2012,7,23,Al-Qa`ida in Iraq,0,11,44.639339,34.88562,Iraq,Tuz Khormato,12
2012,7,23,Al-Qa`ida in Iraq,1,4,44.233333,33.85,Iraq,Dujail,5
2012,7,23,Al-Qa`ida in Iraq,0,0,44.145278000000005,34.016389000000004,Iraq,Balad,0
2012,7,23,Al-Qa`ida in Iraq,0,0,44.145278000000005,34.016389000000004,Iraq,Balad,0
2012,7,23,Al-Qa`ida in Iraq,5,20,44.536066999999996,33.571807,Iraq,Khan Bani Saad,25
2012,7,23,Al-Qa`ida in Iraq,3,7,44.5078,33.782198,Iraq,HabHab,10
2012,7,23,Al-Qa`ida in Iraq,1,5,44.926682,33.971278999999996,Iraq,Muqdadiyah,6
2012,7,23,Al-Qa`ida in Iraq,1,5,44.926682,33.971278999999996,Iraq,Muqdadiyah,6
2012,7,23,Al-Qa`ida in Iraq,1,5,44.926682,33.971278999999996,Iraq,Muqdadiyah,6
2012,7,23,Al-Qa`ida in Iraq,1,6,44.926682,33.971278999999996,Iraq,Muqdadiyah,7
2012,7,23,Al-Qa`ida in Iraq,3,6,43.13,36.34,Iraq,Mosul,9
2012,7,23,Al-Qa`ida in Iraq,1,7,41.760647,35.713266,Iraq,Al-Ba'aj,8
2012,7,23,Al-Qa`ida in Iraq,3,0,43.266667,35.816666999999995,Iraq,Jabal al-Qayyarah,3
2012,7,23,Al-Qa`ida in Iraq,0,5,43.13,36.34,Iraq,Mosul,5
2012,7,23,Al-Qa`ida in Iraq,1,3,44.39098,35.46883,Iraq,Kirkuk,4
2012,7,23,Al-Qa`ida in Iraq,1,3,44.39098,35.46883,Iraq,Kirkuk,4
2012,7,23,Al-Qa`ida in Iraq,1,3,44.39098,35.46883,Iraq,Kirkuk,4
2012,7,23,Al-Qa`ida in Iraq,1,3,44.39098,35.46883,Iraq,Kirkuk,4
2012,7,23,Al-Qa`ida in Iraq,1,3,44.39098,35.46883,Iraq,Kirkuk,4
2012,7,23,Al-Qa`ida in Iraq,0,0,44.39098,35.46883,Iraq,Kirkuk,0
2012,7,23,Al-Qa`ida in Iraq,0,0,44.39098,35.46883,Iraq,Kirkuk,0
2012,7,23,Al-Qa`ida in Iraq,0,0,44.109167,35.688611,Iraq,Dibis,0
2012,7,23,Al-Qa`ida in Iraq,0,0,44.109167,35.688611,Iraq,Dibis,0
2012,7,23,Al-Qa`ida in Iraq,4,32,44.924721999999996,31.989167,Iraq,Diwaniyah,36
2012,7,23,Al-Qa`ida in Iraq,2,1,43.483738,34.533753000000004,Iraq,Albu Nemir,3
2012,7,23,Al-Qa`ida in Iraq,2,1,45.383333,34.333333,Iraq,Khanaqin,3
2012,7,23,Al-Qa`ida in Iraq,0,3,45.383333,34.333333,Iraq,Khanaqin,3
2012,7,23,Al-Qa`ida in Iraq,0,7,44.633333,33.75,Iraq,Baqubah,7
2012,7,23,Al-Qa`ida in Iraq,0,3,44.341667,33.295556,Iraq,Baghdad,3
2012,7,23,Al-Qa`ida in Iraq,0,9,44.373779,33.664353999999996,Iraq,Tarmiyah,9
2012,7,23,Al-Qa`ida in Iraq,2,24,44.422,33.325,Iraq,Baghdad,26
2012,7,23,Al-Qa`ida in Iraq,0,0,42.236244,36.229574,Iraq,Unknown,0
2012,7,25,Al-Qa`ida in Iraq,2,2,43.816666999999995,34.366667,Iraq,Al-Hadid,4
2012,7,31,Al-Qa`ida in Iraq,10,12,44.433333000000005,33.3,Iraq,Baghdad,23
2012,7,31,Al-Qa`ida in Iraq,10,12,44.433333000000005,33.3,Iraq,Baghdad,23
2012,7,31,Al-Qa`ida in Iraq,0,0,44.433333000000005,33.3,Iraq,Baghdad,0
2012,8,3,Al-Qa`ida in Iraq,4,4,44.217524,34.058828000000005,Iraq,Dhuluiyah,8
2012,8,8,Al-Qa`ida in Iraq,8,0,43.493056,34.929167,Iraq,Baiji,8
2012,8,11,Al-Qa`ida in Iraq,6,0,44.583333,34.716667,Iraq,Amarliya,6
2012,8,12,Al-Qa`ida in Iraq,8,0,44.583333,34.716667,Iraq,Amarliya,8
2012,8,12,Al-Qa`ida in Iraq,0,4,44.583333,34.716667,Iraq,Amarliya,4
2012,8,15,Al-Qa`ida in Iraq,3,5,44.633333,33.75,Iraq,Baqubah,8
2012,8,16,Al-Qa`ida in Iraq,6,32,44.412808,33.546040000000005,Iraq,Husseiniyah,38
2012,8,16,Al-Qa`ida in Iraq,3,5,44.448863,35.139177000000004,Iraq,Daquq,8
